gene symbol	(count) FRA_49_FW_992
ASPN	33
ASPRV1	1
ASPSCR1	0
ASRGL1	1
ASS1	3
ASTE1	55
ASTL	0
ASTN1	0
ASTN2	5412
ASXL1	15
ASXL2	5
ASXL3	1
ASZ1	11
ATAD1	1
ATAD2	5
ATAD2B	20
ATAD3A	1
ATAD3B	0
ATAD3C	59
ATAD5	66
ATAT1	34
ATCAY	266
ATE1	0
ATF1	0
ATF2	5
ATF3	1
ATF4	35
ATF5	52
ATF6	2
ATF6B	3
ATF7	2
ATF7IP	15
ATF7IP2	6
ATG10	17
ATG12	45
ATG13	25
ATG14	161
ATG16L1	2
ATG16L2	44
ATG2A	2
ATG2B	3
ATG3	2
ATG4A	0
ATG4B	1
ATG4C	0
ATG4D	71
ATG5	2
ATG7	139
ATG9A	2
ATG9B	17
ATHL1	1
ATIC	3
ATL1	7
ATL2	1
ATL3	0
ATM	86
ATMIN	5
ATN1	25
ATOH1	0
ATOH7	0
ATOH8	0
ATOX1	0
ATP10A	5
ATP10B	6
ATP10D	0
ATP11A	6
ATP11B	15
ATP11C	0
ATP12A	0
ATP13A1	5
ATP13A2	4
ATP13A3	3
ATP13A4	0
ATP13A5	1
ATP1A1	46
ATP1A1OS	627
ATP1A2	40
ATP1A3	2
ATP1A4	0
ATP1B1	18
ATP1B2	59
ATP1B3	4
ATP1B4	54
ATP2A1	29
ATP2A2	8
ATP2A3	15
ATP2B1	26
ATP2B2	3
ATP2B3	1
ATP2B4	14
ATP2C1	55
ATP2C2	10
ATP4A	5
ATP4B	3
ATP5A1	1
ATP5B	5
ATP5C1	1
ATP5D	1
ATP5E	4
ATP5EP2	0
ATP5F1	34
ATP5G1	2
ATP5G2	9
ATP5G3	2
ATP5H	95
ATP5I	4
ATP5J	26
ATP5L	0
ATP5L2	10
ATP5O	3
ATP5S	23
ATP5SL	20
ATP6AP1	2
ATP6AP1L	0
ATP6AP2	14
ATP6V0A1	1
ATP6V0A2	36
ATP6V0A4	0
ATP6V0B	1
ATP6V0C	1
ATP6V0CP3	0
ATP6V0D1	0
ATP6V0D2	9
ATP6V0E1	0
ATP6V0E2	11
ATP6V1A	16
ATP6V1B1	0
ATP6V1B2	1
ATP6V1C1	16
ATP6V1C2	461
ATP6V1D	4
ATP6V1E1	1
ATP6V1E2	0
ATP6V1F	2
ATP6V1G1	11
ATP6V1G3	0
ATP6V1H	2
ATP7A	11
ATP7B	0
ATP8A1	3
ATP8A2	0
ATP8B1	331
ATP8B2	39
ATP8B3	0
ATP8B4	0
ATP8B5P	0
ATP9A	1
ATP9B	0
ATPAF1	8
ATPAF2	0
ATPIF1	4
ATR	0
ATRIP	36
ATRN	12
ATRNL1	0
ATRX	20
ATXN1	13
ATXN10	1
ATXN1L	20
ATXN2	7
ATXN2L	9
ATXN3	100
ATXN3L	0
ATXN7	7
ATXN7L1	1
ATXN7L2	0
ATXN7L3	26
ATXN7L3B	15
ATXN8OS	1
AUH	0
AUP1	8
AURKA	36
AURKAIP1	3
AURKAPS1	0
AURKB	0
AURKC	0
AUTS2	2
AVEN	3
AVIL	35
AVL9	2
AVP	0
AVPI1	8
AVPR1A	3
AVPR1B	1
AVPR2	121
AWAT1	1
AWAT2	7
AXDND1	1
AXIN1	14
AXIN2	4
AXL	44
AZGP1	0
AZGP1P1	0
AZI1	3
AZI2	56
AZIN1	5
AZU1	0
B2M	21
B3GALNT1	5
B3GALNT2	105
B3GALT1	0
B3GALT2	111
B3GALT4	11
B3GALT5	0
B3GALT6	2
B3GALTL	1
B3GAT1	0
B3GAT2	74
B3GAT3	1
B3GNT1	3
B3GNT2	3
B3GNT3	2
B3GNT4	22
B3GNT5	14
B3GNT6	23
B3GNT7	14
B3GNT8	25
B3GNT9	42
B3GNTL1	4
B4GALNT1	0
B4GALNT2	0
B4GALNT3	3
B4GALNT4	0
B4GALT1	4
B4GALT2	0
B4GALT3	15
B4GALT4	1
B4GALT5	18
B4GALT6	1
B4GALT7	42
B9D1	1
B9D2	9
BAALC	1
BAAT	41
BABAM1	2
BACE1	234
BACE1-AS	8
BACE2	0
BACH1	3
BACH2	2
BAD	6
BAG1	20
BAG2	0
BAG3	6
BAG4	8
BAG5	10
BAG6	8
BAHCC1	4
BAHD1	7
BAI1	0
BAI2	0
BAI3	0
BAIAP2	31
BAIAP2L1	107
BAIAP2L2	1
BAIAP3	67
BAK1	1
BAMBI	0
BANF1	56
BANF2	0
BANK1	8
BANP	4
BAP1	48
BARD1	0
BARHL1	3
BARHL2	0
BARX1	0
BARX2	0
BASP1	49
BASP1P1	0
BATF	2
BATF2	0
BATF3	1
BAX	9
BAZ1A	87
BAZ1B	9
BAZ2A	24
BAZ2B	18
BBC3	7
BBIP1	681
BBOX1	0
BBS1	30
BBS10	0
BBS12	0
BBS2	1
BBS4	27
BBS5	1074
BBS7	1
BBS9	0
BBX	6
BCAM	0
BCAN	0
BCAP29	0
BCAP31	1
BCAR1	0
BCAR3	7
BCAR4	0
BCAS1	147
BCAS2	64
BCAS3	0
BCAS4	12
BCAT1	1
BCAT2	0
BCCIP	37
BCDIN3D	26
BCHE	0
BCKDHA	13
BCKDHB	41
BCKDK	4
BCL10	10
BCL11A	1
BCL11B	27
BCL2	16
BCL2A1	1
BCL2L1	5
BCL2L10	0
BCL2L11	9
BCL2L12	99
BCL2L13	23
BCL2L14	3
BCL2L15	88
BCL2L2	46
BCL3	0
BCL6	1
BCL6B	6
BCL7A	4
BCL7B	5
BCL7C	11
BCL9	17
BCL9L	74
BCLAF1	19
BCMO1	0
BCO2	0
BCOR	5
BCORL1	3
BCORP1	0
BCR	18
BCRP2	0
BCRP3	0
BCS1L	12
BCYRN1	17
BDH1	48
BDH2	10
BDKRB1	0
BDKRB2	0
BDNF	5
BDP1	16
BEAN1	37
BECN1	0
BEGAIN	5
BEND2	57
BEND3	1
BEND4	1
BEND5	0
BEND6	0
BEND7	0
BEST1	377
BEST2	9
BEST3	0
BEST4	4
BET1	1
BET1L	1
BEX1	0
BEX2	0
BEX4	6
BEX5	0
BFAR	6
BFSP1	1
BFSP2	2
BGN	10
BHLHA15	5
BHLHA9	0
BHLHB9	0
BHLHE22	1
BHLHE23	0
BHLHE40	9
BHLHE41	12
BHMT	1
BHMT2	160
BICC1	0
BICD1	0
BICD2	9
BID	27
BIK	8
BIN1	7
BIN2	20
BIN3	15
BIRC2	1
BIRC3	10
BIRC5	1
BIRC6	13
BIRC7	0
BIRC8	0
BIVM	58
BLCAP	2
BLID	0
BLK	6
BLM	4
BLMH	2
BLNK	0
BLOC1S1	21
BLOC1S2	3
BLOC1S3	16
BLVRA	0
BLVRB	2
BLZF1	16
BMF	1
BMP1	0
BMP10	1
BMP15	0
BMP2	0
BMP2K	29
BMP3	13
BMP4	0
BMP5	0
BMP6	198
BMP7	142
BMP8A	153
BMP8B	90
BMPER	0
BMPR1A	0
BMPR1B	0
BMPR2	17
BMS1	9
BMS1P1	12
BMS1P4	58
BMX	0
BNC1	0
BNC2	2
BNIP1	1
BNIP2	5
BNIP3	37
BNIP3L	0
BNIPL	51
BOC	21
BOD1	1
BOK	7
BOK-AS1	1
BOLA1	0
BOLA2	0
BOLA3	0
BOLL	12
BOP1	20
BPESC1	0
BPGM	2
BPHL	9
BPI	0
BPNT1	41
BPTF	32
BPY2	0
BRAF	4
BRAP	5
BRAT1	248
BRCA1	55
BRCA2	25
BRCC3	2
BRD1	113
BRD2	26
BRD3	28
BRD4	16
BRD7	69
BRD7P3	111
BRD8	2
BRD9	8
BRDT	64
BRE	4
BREA2	26
BRF1	19
BRF2	7
BRI3	7
BRI3BP	1
BRIP1	177
BRIX1	22
BRK1	1
BRMS1	13
BRMS1L	0
BROX	9
BRPF1	11
BRPF3	4
BRS3	0
BRSK1	7
BRSK2	29
BRWD1	41
BRWD3	46
BSCL2	23
BSDC1	1
BSG	7
BSN	19
BSND	0
BSPH1	0
BSPRY	4
BST1	0
BST2	0
BSX	0
BTAF1	13
BTBD1	6
BTBD10	19
BTBD11	10
BTBD16	0
BTBD17	0
BTBD18	103
BTBD19	1
BTBD2	76
BTBD3	0
BTBD6	40
BTBD7	9
BTBD8	0
BTBD9	154
BTC	0
BTD	0
BTF3	45
BTF3L4	2
BTF3P11	1
BTG1	14
BTG2	9
BTG3	7
BTG4	0
BTK	4
BTLA	4
BTN1A1	4
BTN2A1	11
BTN2A2	1
BTN3A1	18
BTN3A2	18
BTN3A3	3
BTNL2	2
BTNL3	0
BTNL8	0
BTNL9	0
BTRC	11
BUB1	0
BUB1B	2
BUB3	1
BUD13	1
BUD31	13
BVES	22
BYSL	213
BZRAP1	42
BZW1	3
BZW2	1
C10orf10	98
C10orf105	129
C10orf107	0
C10orf11	0
C10orf111	7
C10orf112	0
C10orf113	0
C10orf114	0
C10orf118	5
C10orf12	3
C10orf120	0
C10orf128	2
C10orf129	1
C10orf131	9
C10orf137	1
C10orf18	34
C10orf2	0
C10orf25	76
C10orf32	199
