gene symbol	(count) NOR_46_MA_288
ARHGAP10	3
ARHGAP11A	10
ARHGAP11B	0
ARHGAP12	1
ARHGAP15	4
ARHGAP17	0
ARHGAP18	0
ARHGAP20	0
ARHGAP21	1
ARHGAP22	0
ARHGAP23	0
ARHGAP24	2
ARHGAP25	2
ARHGAP26	51
ARHGAP27	6
ARHGAP28	0
ARHGAP29	0
ARHGAP30	64
ARHGAP31	10
ARHGAP32	1
ARHGAP33	0
ARHGAP35	0
ARHGAP36	0
ARHGAP39	4
ARHGAP4	20
ARHGAP40	0
ARHGAP42	0
ARHGAP44	27
ARHGAP5	1
ARHGAP6	4
ARHGAP9	83
ARHGDIA	12
ARHGDIB	17
ARHGDIG	0
ARHGEF1	21
ARHGEF10	0
ARHGEF10L	0
ARHGEF11	3
ARHGEF12	2
ARHGEF15	0
ARHGEF16	0
ARHGEF17	0
ARHGEF18	14
ARHGEF19	0
ARHGEF2	6
ARHGEF25	0
ARHGEF26	35
ARHGEF3	1
ARHGEF33	11
ARHGEF35	12
ARHGEF37	0
ARHGEF38	5
ARHGEF4	20
ARHGEF40	4
ARHGEF5	0
ARHGEF6	35
ARHGEF7	0
ARHGEF9	7
ARID1A	21
ARID1B	19
ARID2	10
ARID3A	1
ARID3B	1
ARID3C	0
ARID4A	7
ARID4B	17
ARID5A	7
ARID5B	10
ARIH1	8
ARIH2	22
ARL1	1
ARL10	0
ARL11	18
ARL13A	15
ARL13B	4
ARL14	0
ARL15	0
ARL16	25
ARL17A	564
ARL2	7
ARL2BP	7
ARL3	28
ARL4A	21
ARL4C	23
ARL4D	0
ARL5A	0
ARL5B	1
ARL5C	2
ARL6	0
ARL6IP1	1
ARL6IP4	24
ARL6IP5	0
ARL6IP6	2
ARL8A	4
ARL8B	0
ARL9	0
ARMC1	0
ARMC10	73
ARMC2	1
ARMC3	0
ARMC4	0
ARMC5	27
ARMC6	0
ARMC7	39
ARMC8	1
ARMC9	0
ARMCX1	0
ARMCX2	0
ARMCX3	1
ARMCX4	0
ARMCX5	1
ARMCX6	0
ARMS2	0
ARNT	1
ARNT2	0
ARNTL	28
ARNTL2	0
ARPC1A	2
ARPC1B	21
ARPC2	5
ARPC3	28
ARPC4	61
ARPC5	6
ARPC5L	2
ARPP19	39
ARPP21	0
ARR3	5
ARRB1	1
ARRB2	4
ARRDC1	32
ARRDC2	5
ARRDC3	6
ARRDC4	0
ARRDC5	0
ARSA	42
ARSB	26
ARSD	8
ARSE	0
ARSF	2
ARSG	5
ARSH	0
ARSI	0
ARSJ	0
ARSK	21
ART1	3
ART3	0
ART4	2
ART5	0
ARTN	1
ARV1	3
ARVCF	6
ARX	0
ASAH1	4
ASAH2	0
ASAH2B	0
ASAP1	3
ASAP1-IT1	0
ASAP2	15
ASAP3	0
ASB1	2
ASB10	0
ASB11	39
ASB12	1
ASB13	0
ASB14	201
ASB15	0
ASB16	97
ASB17	0
ASB18	0
ASB2	0
ASB3	4
ASB4	9
ASB5	0
ASB6	97
ASB7	4
ASB8	68
ASB9	0
ASB9P1	8
ASCC1	46
ASCC2	13
ASCC3	1
ASCL1	0
ASCL2	1
ASCL3	0
ASCL4	0
ASF1A	89
ASF1B	6
ASGR1	1
ASGR2	1
ASH1L	12
ASH2L	3
ASIP	1
ASL	1
ASMTL	0
ASMTL-AS1	0
ASNA1	0
ASNS	0
ASNSD1	0
ASPA	0
ASPDH	23
ASPG	0
ASPH	9
ASPHD1	8
ASPHD2	12
ASPM	0
ASPN	18
ASPRV1	0
ASPSCR1	0
ASRGL1	5
ASS1	4
ASTE1	45
ASTL	0
ASTN1	0
ASTN2	4283
ASXL1	16
ASXL2	7
ASXL3	0
ASZ1	3
ATAD1	2
ATAD2	1
ATAD2B	17
ATAD3A	1
ATAD3B	0
ATAD3C	48
ATAD5	48
ATAT1	17
ATCAY	183
ATE1	0
ATF1	2
ATF2	0
ATF3	1
ATF4	27
ATF5	34
ATF6	0
ATF6B	4
ATF7	1
ATF7IP	8
ATF7IP2	4
ATG10	3
ATG12	33
ATG13	7
ATG14	109
ATG16L1	1
ATG16L2	23
ATG2A	1
ATG2B	0
ATG3	3
ATG4A	0
ATG4B	3
ATG4C	0
ATG4D	58
ATG5	0
ATG7	106
ATG9A	2
ATG9B	16
ATHL1	8
ATIC	1
ATL1	10
ATL2	0
ATL3	0
ATM	62
ATMIN	5
ATN1	17
ATOH1	0
ATOH7	0
ATOH8	0
ATOX1	0
ATP10A	8
ATP10B	3
ATP10D	4
ATP11A	8
ATP11B	7
ATP11C	0
ATP12A	0
ATP13A1	0
ATP13A2	0
ATP13A3	3
ATP13A4	0
ATP13A5	0
ATP1A1	40
ATP1A1OS	395
ATP1A2	23
ATP1A3	0
ATP1A4	0
ATP1B1	7
ATP1B2	42
ATP1B3	4
ATP1B4	27
ATP2A1	31
ATP2A2	13
ATP2A3	6
ATP2B1	19
ATP2B2	3
ATP2B3	1
ATP2B4	2
ATP2C1	36
ATP2C2	6
ATP4A	1
ATP4B	2
ATP5A1	0
ATP5B	1
ATP5C1	1
ATP5D	1
ATP5E	5
ATP5EP2	0
ATP5F1	32
ATP5G1	1
ATP5G2	4
ATP5G3	1
ATP5H	70
ATP5I	2
ATP5J	14
ATP5L	0
ATP5L2	3
ATP5O	0
ATP5S	25
ATP5SL	17
ATP6AP1	1
ATP6AP1L	0
ATP6AP2	0
ATP6V0A1	0
ATP6V0A2	18
ATP6V0A4	0
ATP6V0B	1
ATP6V0C	2
ATP6V0CP3	0
ATP6V0D1	1
ATP6V0D2	9
ATP6V0E1	2
ATP6V0E2	8
ATP6V1A	14
ATP6V1B1	2
ATP6V1B2	1
ATP6V1C1	8
ATP6V1C2	226
ATP6V1D	3
ATP6V1E1	0
ATP6V1E2	0
ATP6V1F	6
ATP6V1G1	4
ATP6V1G3	1
ATP6V1H	1
ATP7A	14
ATP7B	0
ATP8A1	1
ATP8A2	0
ATP8B1	289
ATP8B2	12
ATP8B3	0
ATP8B4	0
ATP8B5P	1
ATP9A	0
ATP9B	2
ATPAF1	7
ATPAF2	0
ATPIF1	3
ATR	1
ATRIP	13
ATRN	12
ATRNL1	0
ATRX	3
ATXN1	4
ATXN10	0
ATXN1L	13
ATXN2	4
ATXN2L	10
ATXN3	67
ATXN3L	0
ATXN7	8
ATXN7L1	2
ATXN7L2	3
ATXN7L3	11
ATXN7L3B	6
ATXN8OS	0
AUH	2
AUP1	7
AURKA	9
AURKAIP1	0
AURKAPS1	0
AURKB	0
AURKC	1
AUTS2	0
AVEN	2
AVIL	30
AVL9	4
AVP	0
AVPI1	2
AVPR1A	1
AVPR1B	0
AVPR2	59
AWAT1	0
AWAT2	3
AXDND1	0
AXIN1	3
AXIN2	0
AXL	33
AZGP1	0
AZGP1P1	0
AZI1	1
AZI2	55
AZIN1	10
AZU1	0
B2M	6
B3GALNT1	4
B3GALNT2	64
B3GALT1	0
B3GALT2	109
B3GALT4	7
B3GALT5	0
B3GALT6	0
B3GALTL	0
B3GAT1	1
B3GAT2	37
B3GAT3	2
B3GNT1	0
B3GNT2	1
B3GNT3	1
B3GNT4	21
B3GNT5	9
B3GNT6	7
B3GNT7	10
B3GNT8	26
B3GNT9	35
B3GNTL1	8
B4GALNT1	0
B4GALNT2	0
B4GALNT3	4
B4GALNT4	0
B4GALT1	2
B4GALT2	1
B4GALT3	9
B4GALT4	0
B4GALT5	9
B4GALT6	0
B4GALT7	21
B9D1	0
B9D2	10
BAALC	1
BAAT	26
BABAM1	2
BACE1	209
BACE1-AS	7
BACE2	0
BACH1	1
BACH2	2
BAD	6
BAG1	7
BAG2	3
BAG3	3
BAG4	4
BAG5	3
BAG6	14
BAHCC1	1
BAHD1	5
BAI1	0
BAI2	0
BAI3	0
BAIAP2	22
BAIAP2L1	34
BAIAP2L2	2
BAIAP3	55
BAK1	2
BAMBI	0
BANF1	37
BANF2	0
BANK1	2
BANP	1
BAP1	37
BARD1	0
BARHL1	2
BARHL2	0
BARX1	0
BARX2	2
BASP1	42
BASP1P1	0
BATF	1
BATF2	0
BATF3	0
BAX	9
BAZ1A	43
BAZ1B	7
BAZ2A	14
BAZ2B	10
BBC3	11
BBIP1	471
BBOX1	0
BBS1	18
BBS10	0
BBS12	0
BBS2	4
BBS4	28
BBS5	815
BBS7	0
BBS9	0
BBX	0
BCAM	0
BCAN	0
BCAP29	1
BCAP31	1
BCAR1	0
BCAR3	13
BCAR4	0
BCAS1	95
BCAS2	35
BCAS3	0
BCAS4	13
BCAT1	1
BCAT2	0
BCCIP	30
BCDIN3D	21
BCHE	0
BCKDHA	9
BCKDHB	36
BCKDK	3
BCL10	6
BCL11A	0
BCL11B	36
BCL2	8
BCL2A1	0
BCL2L1	5
BCL2L10	0
BCL2L11	4
BCL2L12	105
BCL2L13	9
BCL2L14	2
BCL2L15	83
BCL2L2	30
BCL3	2
BCL6	0
BCL6B	2
BCL7A	0
BCL7B	1
BCL7C	4
BCL9	21
BCL9L	51
BCLAF1	15
BCMO1	1
BCO2	0
BCOR	3
BCORL1	3
BCORP1	1
BCR	10
BCRP2	0
BCRP3	0
BCS1L	10
BCYRN1	13
BDH1	42
BDH2	5
BDKRB1	1
BDKRB2	0
BDNF	4
BDP1	5
BEAN1	34
BECN1	1
BEGAIN	3
BEND2	37
BEND3	2
BEND4	2
BEND5	0
BEND6	0
BEND7	0
BEST1	485
BEST2	0
BEST3	0
BEST4	6
BET1	0
BET1L	0
BEX1	0
BEX2	0
BEX4	1
BEX5	1
BFAR	7
BFSP1	0
BFSP2	3
BGN	8
BHLHA15	3
BHLHA9	0
BHLHB9	0
BHLHE22	0
BHLHE23	0
BHLHE40	5
BHLHE41	9
BHMT	1
BHMT2	97
BICC1	0
BICD1	0
BICD2	7
BID	18
BIK	5
BIN1	3
BIN2	12
BIN3	8
BIRC2	0
BIRC3	5
BIRC5	3
BIRC6	6
BIRC7	0
BIRC8	0
BIVM	27
BLCAP	0
BLID	0
BLK	0
BLM	0
BLMH	0
BLNK	0
BLOC1S1	7
BLOC1S2	2
BLOC1S3	8
BLVRA	0
BLVRB	0
BLZF1	10
BMF	1
BMP1	0
BMP10	0
BMP15	0
BMP2	0
BMP2K	20
BMP3	8
BMP4	0
BMP5	0
BMP6	48
BMP7	117
BMP8A	93
BMP8B	74
BMPER	0
BMPR1A	0
BMPR1B	0
BMPR2	22
BMS1	15
BMS1P1	7
BMS1P4	46
BMX	0
BNC1	0
BNC2	1
BNIP1	0
BNIP2	3
BNIP3	29
BNIP3L	1
BNIPL	49
BOC	11
BOD1	1
BOK	7
BOK-AS1	0
BOLA1	0
BOLA2	0
BOLA3	1
BOLL	10
BOP1	21
BPESC1	0
BPGM	9
BPHL	1
BPI	0
BPNT1	23
BPTF	28
BPY2	0
BRAF	1
BRAP	1
BRAT1	65
BRCA1	25
BRCA2	33
BRCC3	1
BRD1	66
BRD2	21
BRD3	15
BRD4	13
BRD7	73
BRD7P3	60
BRD8	0
BRD9	8
BRDT	34
BRE	3
BREA2	19
BRF1	15
BRF2	1
BRI3	12
BRI3BP	1
BRIP1	137
BRIX1	10
BRK1	0
BRMS1	1
BRMS1L	2
BROX	4
BRPF1	5
BRPF3	2
BRS3	0
BRSK1	0
BRSK2	22
BRWD1	63
BRWD3	35
BSCL2	16
BSDC1	1
BSG	5
BSN	23
BSND	0
BSPH1	0
BSPRY	3
BST1	1
BST2	0
BSX	0
BTAF1	6
BTBD1	24
BTBD10	19
BTBD11	14
BTBD16	0
BTBD17	0
BTBD18	63
BTBD19	2
BTBD2	69
BTBD3	0
BTBD6	31
BTBD7	10
BTBD8	0
BTBD9	55
BTC	0
BTD	0
BTF3	24
BTF3L4	1
BTF3P11	0
BTG1	10
BTG2	7
BTG3	1
BTG4	0
BTK	0
BTLA	3
BTN1A1	8
BTN2A1	5
BTN2A2	0
BTN3A1	7
BTN3A2	12
BTN3A3	2
BTNL2	1
BTNL3	0
BTNL8	0
BTNL9	0
BTRC	3
BUB1	0
BUB1B	0
BUB3	0
BUD13	1
BUD31	12
BVES	25
BYSL	137
BZRAP1	7
BZW1	3
BZW2	0
C10orf10	52
C10orf105	81
C10orf107	0
C10orf11	0
C10orf111	6
C10orf112	0
C10orf113	0
C10orf114	0
C10orf118	3
C10orf12	1
C10orf120	0
C10orf128	0
C10orf129	5
C10orf131	6
C10orf137	2
C10orf18	24
C10orf2	1
C10orf25	31
C10orf32	125
C10orf35	0
C10orf40	0
C10orf53	0
C10orf54	67
C10orf55	1
C10orf62	0
C10orf67	2
C10orf71	1
C10orf76	21
C10orf82	0
C10orf88	0
C10orf90	0
C10orf91	0
C10orf95	63
C10orf99	0
C11orf1	0
C11orf16	1
C11orf21	12
C11orf24	0
C11orf30	0
C11orf31	11
C11orf34	16
C11orf35	26
C11orf40	0
C11orf42	5
C11orf44	15
C11orf45	0
C11orf48	3
C11orf49	78
C11orf53	1
C11orf54	9
C11orf57	46
C11orf58	103
C11orf63	32
C11orf65	1
C11orf68	0
C11orf70	36
C11orf71	1
C11orf73	0
C11orf74	0
C11orf80	37
C11orf82	1
C11orf83	14
C11orf84	4
C11orf85	0
C11orf86	0
C11orf87	0
C11orf88	0
C11orf91	0
C11orf92	44
C11orf93	6
C11orf94	0
C11orf95	6
C11orf96	0
