gene symbol	(count) FRA_49_MW_1194
ANKRD27	2
ANKRD28	35
ANKRD29	0
ANKRD30A	1
ANKRD30B	0
ANKRD30BL	0
ANKRD30BP2	30
ANKRD31	0
ANKRD32	14
ANKRD33	0
ANKRD33B	2
ANKRD34A	16
ANKRD34B	0
ANKRD34C	0
ANKRD35	0
ANKRD36	0
ANKRD36B	16
ANKRD36BP1	231
ANKRD36BP2	0
ANKRD37	18
ANKRD39	0
ANKRD40	40
ANKRD42	19
ANKRD44	0
ANKRD45	11
ANKRD46	0
ANKRD49	0
ANKRD50	0
ANKRD52	0
ANKRD53	1
ANKRD54	0
ANKRD55	8
ANKRD6	23
ANKRD62	49
ANKRD62P1-PARP4P3	13
ANKRD63	0
ANKRD7	0
ANKRD9	0
ANKS1A	1
ANKS1B	74
ANKS3	13
ANKS4B	16
ANKS6	0
ANKUB1	0
ANKZF1	6
ANLN	0
ANO1	0
ANO10	2
ANO2	0
ANO3	0
ANO4	0
ANO5	0
ANO6	6
ANO7	10
ANO8	13
ANO9	20
ANP32A	1
ANP32B	3
ANP32C	0
ANP32D	0
ANP32E	9
ANPEP	0
ANTXR1	0
ANTXR2	7
ANXA1	1
ANXA10	1
ANXA11	2
ANXA13	0
ANXA2	0
ANXA2P1	1
ANXA2P2	4
ANXA2P3	0
ANXA3	0
ANXA4	1
ANXA5	1
ANXA6	1
ANXA7	0
ANXA8	0
ANXA8L2	0
ANXA9	56
AOAH	2
AOC2	0
AOC3	0
AOC4	9
AOX1	0
AOX2P	1
AP1AR	17
AP1B1	0
AP1B1P1	0
AP1G1	1
AP1G2	246
AP1M1	2
AP1M2	0
AP1S1	0
AP1S2	9
AP1S3	83
AP2A1	4
AP2A2	0
AP2B1	0
AP2M1	1
AP2S1	0
AP3B1	2
AP3B2	3
AP3D1	12
AP3M1	66
AP3M2	0
AP3S1	8
AP3S2	44
AP4B1	0
AP4E1	57
AP4M1	5
AP4S1	18
APAF1	23
APBA1	0
APBA2	2
APBA3	1
APBB1	2
APBB1IP	1
APBB2	7
APBB3	3
APC	1
APC2	71
APCDD1	1
APCDD1L	7
APCS	0
APEH	1
APEX1	20
APEX2	0
APH1A	4
APH1B	0
API5	5
APIP	0
APITD1	7
APLF	0
APLN	0
APLNR	0
APLP1	1
APLP2	4
APOA1	0
APOA1BP	16
APOA2	15
APOA4	0
APOA5	0
APOB	1
APOBEC1	0
APOBEC2	59
APOBEC3A	27
APOBEC3B	0
APOBEC3C	1
APOBEC3D	30
APOBEC3F	18
APOBEC3G	0
APOBEC3H	1
APOBEC4	4
APOBR	9
APOC1	0
APOC1P1	9
APOC3	0
APOD	0
APOE	0
APOF	6
APOH	0
APOL1	74
APOL2	11
APOL3	5
APOL4	169
APOL5	0
APOL6	59
APOLD1	22
APOM	13
APOO	0
APOOL	26
APP	6
APPBP2	1
APPL1	23
APPL2	133
APRT	5
APTX	0
AQP1	0
AQP10	0
AQP11	62
AQP12A	0
AQP12B	0
AQP2	0
AQP3	4
AQP4	0
AQP5	0
AQP6	11
AQP7	0
AQP7P1	1
AQP7P3	0
AQP8	0
AQP9	4
AQPEP	0
AQR	0
AR	4
ARAF	2
ARAP1	1
ARAP2	0
ARAP3	0
ARC	0
ARCN1	23
AREG	0
ARF1	2
ARF3	1
ARF4	20
ARF5	1
ARF6	32
ARFGAP1	2
ARFGAP2	21
ARFGAP3	1
ARFGEF1	7
ARFGEF2	2
ARFIP1	0
ARFIP2	18
ARFRP1	4
ARG1	35
ARG2	129
ARGFX	74
ARGFXP2	20
ARGLU1	13
ARHGAP1	71
ARHGAP10	1
ARHGAP11A	5
ARHGAP11B	0
ARHGAP12	0
ARHGAP15	1
ARHGAP17	1
ARHGAP18	0
ARHGAP20	0
ARHGAP21	0
ARHGAP22	0
ARHGAP23	0
ARHGAP24	0
ARHGAP25	2
ARHGAP26	43
ARHGAP27	0
ARHGAP28	0
ARHGAP29	0
ARHGAP30	27
ARHGAP31	18
ARHGAP32	0
ARHGAP33	0
ARHGAP35	0
ARHGAP36	0
ARHGAP39	2
ARHGAP4	10
ARHGAP40	0
ARHGAP42	0
ARHGAP44	18
ARHGAP5	2
ARHGAP6	2
ARHGAP9	47
