gene symbol	(count) FRA_46_FA_336
ALOX12P2	11
ALOX15	7
ALOX15B	0
ALOX5	15
ALOX5AP	0
ALOXE3	0
ALPI	0
ALPK1	26
ALPK2	3
ALPK3	0
ALPL	0
ALPP	17
ALPPL2	0
ALS2	14
ALS2CL	1
ALS2CR11	19
ALS2CR12	44
ALS2CR8	58
ALX1	0
ALX3	35
ALX4	27
AMACR	3
AMBN	9
AMBP	0
AMBRA1	1
AMD1	4
AMDHD1	1
AMDHD2	15
AMELX	0
AMELY	0
AMFR	2
AMH	1
AMHR2	0
AMICA1	5
AMIGO1	68
AMIGO2	16
AMIGO3	67
AMMECR1	37
AMMECR1L	1
AMN	0
AMN1	22
AMOT	0
AMOTL1	18
AMOTL2	0
AMPD1	1
AMPD2	0
AMPD3	14
AMPH	58
AMT	205
AMTN	0
AMY1A	0
AMY2A	0
AMZ1	32
AMZ2	2
AMZ2P1	3
ANAPC1	1
ANAPC10	0
ANAPC11	2
ANAPC13	12
ANAPC16	211
ANAPC2	3
ANAPC4	0
ANAPC5	7
ANAPC7	3
ANG	4
ANGEL1	3
ANGEL2	36
ANGPT1	0
ANGPT2	267
ANGPT4	4
ANGPTL1	434
ANGPTL2	24
ANGPTL3	11
ANGPTL4	18
ANGPTL5	0
ANGPTL6	158
ANGPTL7	38
ANK1	1
ANK2	1
ANK3	6
ANKAR	10
ANKDD1A	46
ANKDD1B	0
ANKFN1	0
ANKFY1	32
ANKH	581
ANKHD1	33
ANKIB1	4
ANKK1	26
ANKLE1	105
ANKLE2	11
ANKMY1	1
ANKMY2	0
ANKRA2	0
ANKRD1	6
ANKRD10	6
ANKRD11	51
ANKRD12	108
ANKRD13A	34
ANKRD13B	4
ANKRD13C	3
ANKRD13D	5
ANKRD16	64
ANKRD17	4
ANKRD18A	8
ANKRD19P	109
ANKRD2	0
ANKRD20A3	7
ANKRD20A4	1
ANKRD20A5P	7
ANKRD20A9P	2179
ANKRD22	9
ANKRD23	45
ANKRD24	1
ANKRD26	0
ANKRD26P1	0
ANKRD26P3	0
ANKRD27	13
ANKRD28	80
ANKRD29	0
ANKRD30A	0
ANKRD30B	4
ANKRD30BL	1
ANKRD30BP2	64
ANKRD31	0
ANKRD32	17
ANKRD33	0
ANKRD33B	1
ANKRD34A	25
ANKRD34B	0
ANKRD34C	0
ANKRD35	0
ANKRD36	8
ANKRD36B	26
ANKRD36BP1	575
ANKRD36BP2	3
ANKRD37	34
ANKRD39	2
ANKRD40	87
ANKRD42	27
ANKRD44	7
ANKRD45	11
ANKRD46	0
ANKRD49	1
ANKRD50	2
ANKRD52	4
ANKRD53	0
ANKRD54	1
ANKRD55	20
ANKRD6	60
ANKRD62	90
ANKRD62P1-PARP4P3	9
ANKRD63	0
ANKRD7	0
ANKRD9	0
ANKS1A	1
ANKS1B	178
ANKS3	39
ANKS4B	38
ANKS6	0
ANKUB1	0
ANKZF1	17
ANLN	0
ANO1	0
ANO10	1
ANO2	0
ANO3	0
ANO4	0
ANO5	0
ANO6	19
ANO7	16
ANO8	25
ANO9	26
ANP32A	9
ANP32B	3
ANP32C	0
ANP32D	0
ANP32E	18
ANPEP	11
ANTXR1	0
ANTXR2	11
ANXA1	5
ANXA10	3
ANXA11	11
ANXA13	0
ANXA2	3
ANXA2P1	3
ANXA2P2	9
ANXA2P3	0
ANXA3	0
ANXA4	1
ANXA5	3
ANXA6	13
ANXA7	0
ANXA8	0
ANXA8L2	0
ANXA9	70
AOAH	2
AOC2	0
AOC3	0
AOC4	10
AOX1	0
AOX2P	4
AP1AR	37
AP1B1	7
AP1B1P1	0
AP1G1	4
AP1G2	540
AP1M1	6
AP1M2	0
AP1S1	0
AP1S2	57
AP1S3	162
AP2A1	11
AP2A2	3
AP2B1	2
AP2M1	7
AP2S1	1
AP3B1	13
AP3B2	7
AP3D1	46
AP3M1	168
AP3M2	2
AP3S1	10
AP3S2	69
AP4B1	1
AP4E1	76
AP4M1	17
AP4S1	29
APAF1	47
APBA1	0
APBA2	17
APBA3	6
APBB1	7
APBB1IP	7
APBB2	21
APBB3	5
APC	6
APC2	87
APCDD1	3
APCDD1L	15
APCS	0
APEH	6
APEX1	27
APEX2	2
APH1A	4
APH1B	0
API5	10
APIP	0
APITD1	14
APLF	3
APLN	0
APLNR	0
APLP1	6
APLP2	13
APOA1	0
APOA1BP	21
APOA2	13
APOA4	0
APOA5	1
APOB	0
APOBEC1	0
APOBEC2	109
APOBEC3A	36
APOBEC3B	0
APOBEC3C	3
APOBEC3D	52
APOBEC3F	32
APOBEC3G	1
APOBEC3H	2
APOBEC4	5
APOBR	20
APOC1	0
APOC1P1	9
APOC3	0
APOD	0
APOE	0
APOF	11
APOH	0
APOL1	115
APOL2	26
APOL3	5
APOL4	371
APOL5	0
APOL6	119
APOLD1	59
APOM	21
APOO	0
APOOL	46
APP	16
APPBP2	7
APPL1	41
APPL2	302
APRT	4
APTX	0
AQP1	0
AQP10	0
AQP11	96
AQP12A	0
AQP12B	0
AQP2	0
AQP3	6
AQP4	0
AQP5	1
AQP6	15
AQP7	0
AQP7P1	2
AQP7P3	0
AQP8	0
AQP9	0
AQPEP	0
AQR	2
AR	0
ARAF	2
ARAP1	14
ARAP2	6
ARAP3	3
ARC	0
ARCN1	45
AREG	0
ARF1	17
ARF3	6
ARF4	67
ARF5	3
ARF6	42
ARFGAP1	3
ARFGAP2	31
ARFGAP3	3
ARFGEF1	20
ARFGEF2	7
ARFIP1	0
ARFIP2	24
ARFRP1	2
ARG1	103
ARG2	418
ARGFX	147
ARGFXP2	31
ARGLU1	66
ARHGAP1	114
ARHGAP10	6
ARHGAP11A	19
ARHGAP11B	0
ARHGAP12	3
ARHGAP15	8
ARHGAP17	3
ARHGAP18	1
ARHGAP20	0
ARHGAP21	6
ARHGAP22	2
ARHGAP23	0
ARHGAP24	1
ARHGAP25	10
ARHGAP26	71
ARHGAP27	10
ARHGAP28	0
ARHGAP29	0
ARHGAP30	131
ARHGAP31	41
ARHGAP32	1
ARHGAP33	0
ARHGAP35	4
ARHGAP36	0
ARHGAP39	4
ARHGAP4	36
ARHGAP40	0
ARHGAP42	0
ARHGAP44	35
ARHGAP5	6
ARHGAP6	4
ARHGAP9	147
ARHGDIA	34
ARHGDIB	34
ARHGDIG	0
ARHGEF1	19
ARHGEF10	0
ARHGEF10L	0
ARHGEF11	1
ARHGEF12	1
ARHGEF15	0
ARHGEF16	1
ARHGEF17	0
ARHGEF18	27
ARHGEF19	0
ARHGEF2	13
ARHGEF25	0
ARHGEF26	64
ARHGEF3	7
ARHGEF33	24
ARHGEF35	19
ARHGEF37	0
ARHGEF38	2
ARHGEF4	26
ARHGEF40	8
ARHGEF5	0
ARHGEF6	38
ARHGEF7	2
ARHGEF9	12
ARID1A	19
ARID1B	21
ARID2	19
ARID3A	10
ARID3B	4
ARID3C	0
ARID4A	12
ARID4B	25
ARID5A	7
ARID5B	16
ARIH1	8
ARIH2	29
ARL1	2
ARL10	1
ARL11	42
ARL13A	18
ARL13B	20
ARL14	0
ARL15	0
ARL16	22
ARL17A	739
ARL2	12
ARL2BP	10
ARL3	33
ARL4A	26
ARL4C	36
ARL4D	0
ARL5A	3
ARL5B	0
ARL5C	1
ARL6	0
ARL6IP1	0
ARL6IP4	53
ARL6IP5	5
ARL6IP6	6
ARL8A	1
ARL8B	11
ARL9	0
ARMC1	0
ARMC10	121
ARMC2	4
ARMC3	0
ARMC4	0
ARMC5	32
ARMC6	6
ARMC7	89
ARMC8	3
ARMC9	0
ARMCX1	0
ARMCX2	0
ARMCX3	1
ARMCX4	0
ARMCX5	1
ARMCX6	1
ARMS2	0
ARNT	2
ARNT2	0
ARNTL	77
ARNTL2	0
ARPC1A	2
ARPC1B	21
ARPC2	16
ARPC3	29
ARPC4	84
ARPC5	17
ARPC5L	3
ARPP19	74
ARPP21	0
ARR3	8
ARRB1	6
ARRB2	10
ARRDC1	66
ARRDC2	7
ARRDC3	10
ARRDC4	0
ARRDC5	2
ARSA	59
ARSB	44
ARSD	10
ARSE	0
ARSF	3
ARSG	8
ARSH	0
ARSI	0
ARSJ	1
ARSK	35
ART1	4
ART3	1
ART4	1
ART5	0
ARTN	1
ARV1	1
ARVCF	5
ARX	0
ASAH1	5
ASAH2	0
ASAH2B	0
ASAP1	2
ASAP1-IT1	1
ASAP2	29
ASAP3	0
ASB1	3
ASB10	0
ASB11	50
ASB12	0
ASB13	0
ASB14	409
ASB15	0
ASB16	114
ASB17	0
ASB18	0
ASB2	2
ASB3	11
ASB4	23
ASB5	0
ASB6	199
ASB7	13
ASB8	122
ASB9	0
ASB9P1	13
ASCC1	86
ASCC2	15
ASCC3	4
ASCL1	0
ASCL2	1
ASCL3	0
ASCL4	0
ASF1A	156
ASF1B	5
ASGR1	1
ASGR2	12
ASH1L	19
ASH2L	1
ASIP	4
ASL	0
ASMTL	0
ASMTL-AS1	0
ASNA1	4
ASNS	2
ASNSD1	0
ASPA	0
ASPDH	34
ASPG	0
ASPH	17
ASPHD1	6
ASPHD2	19
ASPM	1
ASPN	34
ASPRV1	1
ASPSCR1	4
ASRGL1	7
ASS1	9
ASTE1	51
ASTL	0
ASTN1	0
ASTN2	6343
ASXL1	14
ASXL2	18
ASXL3	0
ASZ1	3
ATAD1	2
ATAD2	1
ATAD2B	16
ATAD3A	2
ATAD3B	1
ATAD3C	69
ATAD5	86
ATAT1	32
ATCAY	262
ATE1	1
ATF1	1
ATF2	1
ATF3	0
ATF4	29
ATF5	76
ATF6	1
ATF6B	3
ATF7	1
ATF7IP	12
ATF7IP2	3
ATG10	14
ATG12	41
ATG13	29
ATG14	156
ATG16L1	0
ATG16L2	40
ATG2A	1
ATG2B	1
ATG3	5
ATG4A	1
ATG4B	1
ATG4C	0
ATG4D	113
ATG5	0
ATG7	218
ATG9A	1
ATG9B	29
ATHL1	5
ATIC	1
ATL1	13
ATL2	2
ATL3	1
ATM	81
ATMIN	11
ATN1	29
ATOH1	0
ATOH7	0
ATOH8	0
ATOX1	0
ATP10A	11
ATP10B	6
ATP10D	6
ATP11A	7
ATP11B	15
ATP11C	1
ATP12A	0
ATP13A1	5
ATP13A2	3
ATP13A3	4
ATP13A4	0
ATP13A5	0
ATP1A1	60
ATP1A1OS	841
ATP1A2	38
ATP1A3	0
ATP1A4	0
ATP1B1	12
ATP1B2	47
ATP1B3	8
ATP1B4	57
ATP2A1	33
ATP2A2	10
ATP2A3	26
ATP2B1	21
ATP2B2	3
ATP2B3	2
ATP2B4	24
ATP2C1	68
ATP2C2	16
ATP4A	1
ATP4B	2
ATP5A1	4
ATP5B	4
ATP5C1	5
ATP5D	1
ATP5E	8
ATP5EP2	0
ATP5F1	40
ATP5G1	2
ATP5G2	12
ATP5G3	2
ATP5H	105
ATP5I	6
ATP5J	35
ATP5L	3
ATP5L2	3
ATP5O	1
ATP5S	28
ATP5SL	35
ATP6AP1	1
ATP6AP1L	0
ATP6AP2	7
ATP6V0A1	0
ATP6V0A2	36
ATP6V0A4	0
ATP6V0B	0
ATP6V0C	1
ATP6V0CP3	0
ATP6V0D1	0
ATP6V0D2	12
ATP6V0E1	2
ATP6V0E2	15
ATP6V1A	29
ATP6V1B1	0
ATP6V1B2	1
ATP6V1C1	8
ATP6V1C2	983
ATP6V1D	7
ATP6V1E1	1
ATP6V1E2	0
ATP6V1F	1
ATP6V1G1	14
ATP6V1G3	0
ATP6V1H	2
ATP7A	10
ATP7B	1
ATP8A1	3
ATP8A2	0
ATP8B1	387
ATP8B2	25
ATP8B3	0
ATP8B4	0
ATP8B5P	0
ATP9A	1
ATP9B	3
ATPAF1	15
ATPAF2	0
ATPIF1	12
ATR	3
ATRIP	25
ATRN	23
ATRNL1	0
ATRX	17
ATXN1	14
ATXN10	0
ATXN1L	31
ATXN2	12
ATXN2L	7
ATXN3	87
ATXN3L	0
ATXN7	20
ATXN7L1	5
ATXN7L2	2
ATXN7L3	29
